Algorithm,Processors,Avg_Latency(us)
0,20,4989.75
0,24,2806.06
0,28,2927.80
0,32,7561.10
0,36,40972.32
0,40,14286.61
0,44,21061.62
0,48,7625.29
1,4,53.91
1,8,26.47
1,12,36.43
1,16,46.48
1,20,59.77
1,24,90.63
1,28,3801.53
1,32,7838.02
1,36,8599.17
1,40,1696.61
1,44,1838.83
1,48,1848.18
2,4,15.52
2,8,214.32
2,12,365.18
2,16,553.57
2,20,704.09
2,24,878.91
2,28,968.87
2,32,1308.99
2,36,1492.75
2,40,1703.80
2,44,6087.90
2,48,2105.22
4,4,17.96
4,8,4.08
4,12,5.82
4,16,6.22
4,20,7.81
4,24,14.72
4,28,44848.81
4,32,32249.15
4,36,22297.59
4,40,17691.80
4,44,14638.47
4,48,13687.26
0,4,42.36
0,8,9.35
0,12,2833.51
0,16,19.51
0,20,4904.54
0,24,2749.73
0,28,2697.59
0,32,16623.43
0,36,15257.17
0,40,15414.01
0,44,19206.30
0,48,3006.04
1,4,10952.51
1,8,24.57
1,12,36.38
1,16,47.14
1,20,64.27
1,24,75.89
1,28,3609.70
1,32,2081.39
1,36,1936.45
1,40,9075.74
1,44,1888.54
1,48,1842.57
2,4,21.29
2,8,214.28
2,12,367.93
2,16,589.33
2,20,798.17
2,24,867.44
2,28,928.49
2,32,1360.44
2,36,1498.95
2,40,1682.88
2,44,1920.83
2,48,2112.71
4,4,20.39
4,8,4.96
4,12,4.74
4,16,6.51
4,20,6.45
4,24,6.49
4,28,24935.17
4,32,27787.52
4,36,32144.54
4,40,12785.85
4,44,17067.92
4,48,18432.73
0,4,390.47
0,8,11.57
0,12,2760.22
0,16,7.99
0,20,4929.86
0,24,2818.45
0,28,2606.74
0,32,6763.16
0,36,17195.10
0,40,17786.68
0,44,8412.15
0,48,11889.37
1,4,338.14
1,8,25.22
1,12,37.41
1,16,58.50
1,20,60.92
1,24,79.22
1,28,3462.28
1,32,7715.14
1,36,1883.86
1,40,1912.53
1,44,1693.44
1,48,2000.11
2,4,22.08
2,8,208.23
2,12,363.52
2,16,546.51
2,20,856.16
2,24,876.24
2,28,915.43
2,32,1306.15
2,36,1498.40
2,40,1710.98
2,44,1898.08
2,48,2145.44
4,4,11.56
4,8,5.63
4,12,5.99
4,16,5.74
4,20,6.98
4,24,5.78
4,28,37869.24
4,32,24827.07
4,36,13291.91
4,40,19705.05
4,44,15628.44
4,48,33977.92
0,4,4727.28
0,8,3.73
0,12,2716.96
0,16,7.51
0,20,4903.93
0,24,2740.79
0,28,2796.67
0,32,12254.94
0,36,15747.51
0,40,15996.39
0,44,9375.45
0,48,1017.02
1,4,5996.65
1,8,26.84
1,12,41.00
1,16,55.99
1,20,64.72
1,24,110.33
1,28,3532.69
1,32,8721.87
1,36,1941.71
1,40,2154.10
1,44,8119.97
1,48,1865.14
2,4,20.19
2,8,242.95
2,12,359.13
2,16,531.96
2,20,795.29
2,24,991.38
2,28,967.38
2,32,1300.25
2,36,1556.99
2,40,1708.33
2,44,1884.62
2,48,5949.49
4,4,6175.51
4,8,4.81
4,12,6.76
4,16,6.15
4,20,7.00
4,24,7.66
4,28,26266.93
4,32,30258.69
4,36,31529.32
4,40,16912.53
4,44,30668.78
4,48,14536.56
0,4,24.12
0,8,15.20
0,12,2732.51
0,16,7.15
0,20,4893.27
0,24,2739.35
0,28,2875.12
0,32,18346.33
0,36,15939.58
0,40,15078.78
0,44,18158.52
0,48,7724.09
1,4,28.67
1,8,25.28
1,12,36.78
1,16,44.82
1,20,69.46
1,24,80.14
1,28,9582.28
1,32,9546.76
1,36,9073.07
1,40,7432.35
1,44,1922.85
1,48,7221.19
2,4,22.01
2,8,219.70
2,12,367.80
2,16,571.52
2,20,744.33
2,24,1273.35
2,28,901.26
2,32,1304.60
2,36,1490.41
2,40,1700.02
2,44,1875.47
2,48,5960.88
4,4,18.83
4,8,5.25
4,12,5.23
4,16,15.70
4,20,15.23
4,24,16.53
4,28,30550.87
4,32,27569.99
4,36,26014.59
4,40,22713.30
4,44,15695.58
4,48,14547.20
