Algorithm,Processors,Size(bytes),Avg_Latency(us)
2,176,8192,165.54
2,176,16384,177.73
2,176,32768,235.72
2,176,65536,325.41
2,176,131072,572.89
2,176,262144,1076.20
2,176,524288,2082.41
2,176,1048576,4088.83
2,224,1,4218.03
2,224,2,55.88
2,224,4,21.62
2,224,8,21.50
2,224,16,17.40
2,224,32,19.03
2,224,64,23.81
2,224,128,133.21
2,224,256,95.75
2,224,512,83.21
2,224,1024,98.09
2,224,2048,132.92
2,224,4096,189.08
2,224,8192,237.91
2,224,16384,265.21
2,224,32768,274.84
2,224,65536,417.92
2,224,131072,727.84
2,224,262144,1374.71
2,224,524288,2680.45
2,224,1048576,5320.49
2,256,1,19.86
2,256,2,12.92
2,256,4,9.89
2,256,8,10.04
2,256,16,9.76
2,256,32,11.16
2,256,64,11.83
2,256,128,82.39
2,256,256,200.81
2,256,512,83.55
2,256,1024,119.37
2,256,2048,114.93
2,256,4096,221.40
2,256,8192,280.52
2,256,16384,287.39
2,256,32768,371.19
2,256,65536,534.26
2,256,131072,838.68
2,256,262144,1488.92
2,256,524288,2907.49
2,256,1048576,5662.33
5,2,1,7.74
5,2,2,0.94
5,2,4,0.18
5,2,8,0.20
5,2,16,0.18
5,2,32,0.19
5,2,64,0.19
5,2,128,1.50
5,2,256,6.13
5,2,512,1.18
5,2,1024,1.38
5,2,2048,1.26
5,2,4096,3.69
5,2,8192,4.54
5,2,16384,5.35
5,2,32768,6.20
5,2,65536,7.68
5,2,131072,12.44
5,2,262144,23.34
5,2,524288,50.42
5,2,1048576,86.24
5,4,1,1.28
5,4,2,0.23
5,4,4,0.22
5,4,8,0.20
5,4,16,0.22
5,4,32,0.89
5,4,64,0.79
5,4,128,2.60
5,4,256,4.88
5,4,512,2.72
5,4,1024,2.32
5,4,2048,4.76
5,4,4096,7.83
5,4,8192,13.63
5,4,16384,8.03
5,4,32768,8.80
5,4,65536,15.28
5,4,131072,25.06
5,4,262144,39.19
5,4,524288,82.03
5,4,1048576,162.15
5,8,1,48.72
5,8,2,0.77
5,8,4,2.89
5,8,8,0.94
5,8,16,0.72
5,8,32,1.93
5,8,64,1.01
5,8,128,8.13
5,8,256,4.68
5,8,512,5.59
5,8,1024,7.92
5,8,2048,9.69
5,8,4096,16.52
5,8,8192,18.05
5,8,16384,14.62
5,8,32768,21.01
5,8,65536,36.92
5,8,131072,68.64
5,8,262144,129.50
5,8,524288,245.27
5,8,1048576,498.05
5,16,1,3.51
5,16,2,2.07
5,16,4,2.10
5,16,8,1.27
5,16,16,1.54
5,16,32,1.43
5,16,64,1.38
5,16,128,7.61
5,16,256,8.89
5,16,512,10.92
5,16,1024,10.23
5,16,2048,12.87
5,16,4096,19.71
5,16,8192,23.21
5,16,16384,25.85
5,16,32768,38.30
5,16,65536,78.80
5,16,131072,135.00
5,16,262144,264.84
5,16,524288,494.69
5,16,1048576,1060.51
5,32,1,9.26
5,32,2,5.45
5,32,4,2.30
5,32,8,1.79
5,32,16,2.01
5,32,32,2.70
5,32,64,2.24
5,32,128,12.20
5,32,256,11.01
5,32,512,10.83
5,32,1024,13.15
5,32,2048,18.38
5,32,4096,27.85
5,32,8192,34.62
5,32,16384,44.66
5,32,32768,73.66
5,32,65536,131.56
5,32,131072,251.84
5,32,262144,507.61
5,32,524288,961.84
5,32,1048576,1809.04
5,48,1,17.88
5,48,2,6.30
5,48,4,7.92
5,48,8,4.47
5,48,16,2.99
5,48,32,3.63
5,48,64,3.71
5,48,128,14.87
5,48,256,13.41
5,48,512,15.32
5,48,1024,21.61
5,48,2048,26.46
5,48,4096,32.86
5,48,8192,42.49
5,48,16384,57.19
5,48,32768,95.30
5,48,65536,169.29
5,48,131072,339.40
5,48,262144,625.44
5,48,524288,1192.01
5,48,1048576,2529.17
5,64,1,2.39
5,64,2,24.67
5,64,4,2.43
5,64,8,2.03
5,64,16,2.09
5,64,32,2.44
5,64,64,4.94
5,64,128,12.53
5,64,256,15.85
5,64,512,15.14
5,64,1024,18.41
5,64,2048,23.01
5,64,4096,34.81
5,64,8192,44.59
5,64,16384,74.67
5,64,32768,104.15
5,64,65536,221.83
5,64,131072,396.39
5,64,262144,808.31
5,64,524288,1516.12
5,64,1048576,2688.89
5,96,1,4.57
5,96,2,16.39
5,96,4,4.19
5,96,8,3.41
5,96,16,3.84
5,96,32,3.98
5,96,64,4.87
5,96,128,14.52
5,96,256,21.55
5,96,512,21.28
5,96,1024,31.59
5,96,2048,31.18
5,96,4096,41.15
5,96,8192,57.85
5,96,16384,84.54
5,96,32768,146.40
5,96,65536,279.97
5,96,131072,530.44
5,96,262144,1136.03
5,96,524288,1807.65
5,96,1048576,3146.28
5,128,1,4.96
5,128,2,19.69
5,128,4,4.50
5,128,8,5.76
5,128,16,4.01
5,128,32,5.59
5,128,64,5.95
5,128,128,18.50
5,128,256,23.29
5,128,512,22.26
5,128,1024,34.26
5,128,2048,33.60
5,128,4096,45.60
5,128,8192,63.57
5,128,16384,103.72
5,128,32768,181.16
5,128,65536,363.56
5,128,131072,700.23
5,128,262144,1539.59
5,128,524288,2252.47
5,128,1048576,4211.32
5,176,1,236.80
5,176,2,10.67
5,176,4,8.43
5,176,8,7.09
5,176,16,6.22
5,176,32,7.83
5,176,64,9.02
5,176,128,18.16
5,176,256,25.38
5,176,512,29.00
5,176,1024,23.03
5,176,2048,36.83
5,176,4096,61.19
5,176,8192,77.44
5,176,16384,140.61
5,176,32768,196.62
5,176,65536,378.93
5,176,131072,768.18
5,176,262144,1523.82
5,176,524288,2618.86
5,176,1048576,7477.46
5,224,1,51.52
5,224,2,16.38
5,224,4,11.75
5,224,8,10.04
5,224,16,11.28
5,224,32,11.73
5,224,64,15.85
5,224,128,18.90
5,224,256,45.17
5,224,512,20.87
5,224,1024,22.50
5,224,2048,37.75
5,224,4096,68.06
5,224,8192,106.65
5,224,16384,222.24
5,224,32768,347.10
5,224,65536,762.01
5,224,131072,1164.08
5,224,262144,2033.11
5,224,524288,3561.95
5,224,1048576,7804.42
5,256,1,2.80
5,256,2,4.13
5,256,4,6.15
5,256,8,5.60
5,256,16,5.55
5,256,32,5.77
5,256,64,9.12
5,256,128,19.00
5,256,256,55.18
5,256,512,23.82
5,256,1024,27.27
5,256,2048,34.76
5,256,4096,71.26
5,256,8192,113.32
5,256,16384,203.96
5,256,32768,562.59
5,256,65536,1137.16
5,256,131072,2406.11
5,256,262144,2290.65
5,256,524288,6600.50
5,256,1048576,13227.97
