Algorithm,Processors,Size(bytes),Avg_Latency(us)
5,28,128,17.70
5,28,256,21.31
5,28,512,16.69
5,28,1024,22.18
5,28,2048,24.87
5,28,4096,50.05
5,28,8192,64.79
5,28,16384,36.11
5,28,32768,46.54
5,28,65536,79.53
5,28,131072,142.92
5,28,262144,261.07
5,28,524288,497.88
5,28,1048576,948.54
5,32,1,5084.98
5,32,2,8.99
5,32,4,4.75
5,32,8,4.00
5,32,16,2.80
5,32,32,2.67
5,32,64,4.39
5,32,128,23.38
5,32,256,14.80
5,32,512,19.20
5,32,1024,20.58
5,32,2048,37.41
5,32,4096,42.87
5,32,8192,58.86
5,32,16384,36.15
5,32,32768,46.91
5,32,65536,87.80
5,32,131072,152.79
5,32,262144,287.12
5,32,524288,557.66
5,32,1048576,1081.01
5,36,1,7641.95
5,36,2,8.94
5,36,4,6.84
5,36,8,4.06
5,36,16,4.35
5,36,32,4.52
5,36,64,6.65
5,36,128,18.01
5,36,256,17.88
5,36,512,22.69
5,36,1024,22.19
5,36,2048,38.86
5,36,4096,45.68
5,36,8192,60.39
5,36,16384,37.87
5,36,32768,51.40
5,36,65536,85.98
5,36,131072,172.13
5,36,262144,310.98
5,36,524288,631.10
5,36,1048576,1260.72
5,40,1,1443.58
5,40,2,12.81
5,40,4,6.37
5,40,8,5.02
5,40,16,3.51
5,40,32,3.72
5,40,64,4.17
5,40,128,16.85
5,40,256,17.29
5,40,512,21.45
5,40,1024,21.06
5,40,2048,37.60
5,40,4096,45.45
5,40,8192,60.87
5,40,16384,36.42
5,40,32768,55.63
5,40,65536,98.07
5,40,131072,208.51
5,40,262144,412.84
5,40,524288,818.45
5,40,1048576,1575.59
5,44,1,1791.82
5,44,2,15.80
5,44,4,6.49
5,44,8,3.56
5,44,16,3.33
5,44,32,3.73
5,44,64,5.55
5,44,128,17.01
5,44,256,16.29
5,44,512,21.00
5,44,1024,22.97
5,44,2048,38.98
5,44,4096,47.35
5,44,8192,63.39
5,44,16384,41.86
5,44,32768,60.09
5,44,65536,108.84
5,44,131072,215.81
5,44,262144,432.63
5,44,524288,841.52
5,44,1048576,1673.52
5,48,1,1698.23
5,48,2,10.22
5,48,4,7.59
5,48,8,4.94
5,48,16,3.41
5,48,32,4.15
5,48,64,5.74
5,48,128,17.23
5,48,256,17.65
5,48,512,21.91
5,48,1024,25.99
5,48,2048,42.47
5,48,4096,49.93
5,48,8192,65.24
5,48,16384,41.71
5,48,32768,61.27
5,48,65536,118.55
5,48,131072,224.75
5,48,262144,454.27
5,48,524288,874.24
5,48,1048576,1733.36
0,4,1,1.10
0,4,2,0.36
0,4,4,0.37
0,4,8,0.41
0,4,16,0.32
0,4,32,0.52
0,4,64,0.41
0,4,128,4.78
0,4,256,7.33
0,4,512,4.58
0,4,1024,9.02
0,4,2048,9.49
0,4,4096,15.23
0,4,8192,22.18
0,4,16384,7.04
0,4,32768,10.97
0,4,65536,16.99
0,4,131072,27.70
0,4,262144,52.92
0,4,524288,113.81
0,4,1048576,270.36
0,8,1,0.73
0,8,2,3.06
0,8,4,1.85
0,8,8,0.75
0,8,16,0.81
0,8,32,0.87
0,8,64,1.12
0,8,128,7.53
0,8,256,7.18
0,8,512,7.79
0,8,1024,10.96
0,8,2048,11.57
0,8,4096,24.66
0,8,8192,30.93
0,8,16384,12.99
0,8,32768,16.20
0,8,65536,38.84
0,8,131072,58.74
0,8,262144,114.72
0,8,524288,235.66
0,8,1048576,432.10
0,12,1,66.05
0,12,2,5.88
0,12,4,9.56
0,12,8,5.99
0,12,16,6.09
0,12,32,5.83
0,12,64,3.94
0,12,128,24.59
0,12,256,34.44
0,12,512,24.28
0,12,1024,28.37
0,12,2048,42.17
0,12,4096,48.67
0,12,8192,60.96
0,12,16384,22.01
0,12,32768,41.50
0,12,65536,52.95
0,12,131072,93.66
0,12,262144,178.36
0,12,524288,362.85
0,12,1048576,706.13
0,16,1,2.05
0,16,2,1.18
0,16,4,6.09
0,16,8,0.85
0,16,16,1.03
0,16,32,1.46
0,16,64,1.31
0,16,128,12.36
0,16,256,11.23
0,16,512,12.02
0,16,1024,12.31
0,16,2048,22.21
0,16,4096,33.91
0,16,8192,39.39
0,16,16384,20.93
0,16,32768,34.83
0,16,65536,58.38
0,16,131072,118.62
0,16,262144,209.74
0,16,524288,412.89
0,16,1048576,1045.47
0,20,1,105.75
0,20,2,4.50
0,20,4,6.32
0,20,8,3.89
0,20,16,3.78
0,20,32,3.64
0,20,64,3.22
0,20,128,17.22
0,20,256,24.18
0,20,512,16.44
0,20,1024,20.88
0,20,2048,26.06
0,20,4096,36.99
0,20,8192,50.73
0,20,16384,26.76
0,20,32768,49.10
0,20,65536,85.52
0,20,131072,162.50
0,20,262144,344.97
0,20,524288,619.46
0,20,1048576,1633.03
0,24,1,40.03
0,24,2,2.28
0,24,4,1.44
0,24,8,2.41
0,24,16,2.36
0,24,32,2.49
0,24,64,3.56
0,24,128,14.87
0,24,256,23.09
0,24,512,13.72
0,24,1024,23.39
0,24,2048,22.19
0,24,4096,45.14
0,24,8192,56.47
0,24,16384,32.71
0,24,32768,49.50
0,24,65536,89.28
0,24,131072,176.36
0,24,262144,351.77
0,24,524288,679.78
0,24,1048576,1211.74
0,28,1,61.08
0,28,2,4.42
0,28,4,2.78
0,28,8,2.71
0,28,16,2.53
0,28,32,2.89
0,28,64,3.57
0,28,128,14.60
0,28,256,26.86
0,28,512,15.34
0,28,1024,21.09
0,28,2048,23.84
0,28,4096,38.19
0,28,8192,48.01
0,28,16384,25.26
0,28,32768,48.02
0,28,65536,83.49
0,28,131072,156.24
0,28,262144,314.66
0,28,524288,638.58
0,28,1048576,988.81
0,32,1,3.91
0,32,2,88.93
0,32,4,20.60
0,32,8,35.99
0,32,16,37.40
0,32,32,35.75
0,32,64,36.27
0,32,128,11.82
0,32,256,13.16
0,32,512,15.33
0,32,1024,17.37
0,32,2048,66.04
0,32,4096,36.01
0,32,8192,51.91
0,32,16384,21.61
0,32,32768,35.74
0,32,65536,69.14
0,32,131072,112.61
0,32,262144,247.83
0,32,524288,529.25
0,32,1048576,860.31
0,36,1,7037.68
0,36,2,6.00
0,36,4,3.99
0,36,8,3.48
0,36,16,3.69
0,36,32,4.29
0,36,64,5.73
0,36,128,14.20
0,36,256,14.11
0,36,512,16.97
0,36,1024,18.65
0,36,2048,58.79
0,36,4096,39.39
0,36,8192,54.34
0,36,16384,22.37
0,36,32768,33.67
0,36,65536,58.42
0,36,131072,127.56
0,36,262144,243.78
0,36,524288,503.54
0,36,1048576,966.54
0,40,1,2011.75
0,40,2,9.34
0,40,4,4.01
0,40,8,4.28
0,40,16,3.83
0,40,32,4.00
0,40,64,6.57
0,40,128,15.49
0,40,256,15.95
0,40,512,18.42
0,40,1024,21.44
0,40,2048,63.04
0,40,4096,39.84
0,40,8192,55.30
0,40,16384,25.41
0,40,32768,42.53
0,40,65536,68.89
0,40,131072,124.01
0,40,262144,208.50
0,40,524288,401.35
0,40,1048576,858.02
0,44,1,8.46
0,44,2,15.64
0,44,4,3.49
0,44,8,3.72
0,44,16,3.15
0,44,32,3.40
0,44,64,7.06
0,44,128,15.85
0,44,256,15.56
0,44,512,22.53
0,44,1024,21.54
0,44,2048,60.11
0,44,4096,42.09
0,44,8192,58.26
0,44,16384,27.38
0,44,32768,40.04
0,44,65536,67.53
0,44,131072,138.43
0,44,262144,263.90
0,44,524288,531.30
0,44,1048576,896.13
0,48,1,8.77
0,48,2,12.65
0,48,4,6.55
0,48,8,4.42
0,48,16,3.31
0,48,32,3.70
0,48,64,5.32
0,48,128,14.17
0,48,256,14.42
0,48,512,17.02
0,48,1024,20.57
0,48,2048,59.04
0,48,4096,41.70
0,48,8192,60.25
0,48,16384,31.55
0,48,32768,37.15
0,48,65536,69.11
0,48,131072,141.70
0,48,262144,280.26
0,48,524288,535.57
0,48,1048576,980.84
1,4,1,1.08
1,4,2,0.29
1,4,4,0.19
1,4,8,0.19
1,4,16,0.29
1,4,32,1.54
1,4,64,0.30
1,4,128,4.86
1,4,256,7.94
1,4,512,5.48
1,4,1024,7.51
1,4,2048,15.49
1,4,4096,16.30
1,4,8192,20.66
1,4,16384,6.37
1,4,32768,9.83
1,4,65536,15.11
1,4,131072,27.49
1,4,262144,57.90
1,4,524288,110.22
1,4,1048576,225.87
1,8,1,0.75
1,8,2,0.49
1,8,4,3.05
1,8,8,1.69
1,8,16,0.51
1,8,32,1.25
1,8,64,1.13
1,8,128,10.13
